ORF,ranks,weighted_rank
YBR263W,799,0.309944488
YBR264C,284,0.299440285
YBR265W,158,0.381558774
YBR266C,22,0.470561471
YBR267W,580,0.463684374
YBR268W,285,0.41826739
YBR269C,161,0.309290657
YBR270C,65,0.368953569
YBR271W,328,0.373764008
YBR272C,106,0.508791811
YBR273C,133,0.33997155
YBR274W,472,0.449748477
YBR275C,157,0.379315621
YBR276C,232,0.256096614
YBR277C,30,0.31991992
YBR278W,250,0.3202002
YBR279W,200,0.386976977
YBR280C,223,0.364337432
YBR281C,293,0.259812714
YBR282W,239,0.518572966
YBR283C,636,0.457728168
YBR284W,187,0.299272535
YBR285W,117,0.286277731
YBR286W,177,0.303439032
YBR287W,77,0.230698231
YBR288C,282,0.333304936
YBR289W,424,0.336926549
YBR290W,217,0.341249083
YBR291C,222,0.299840381
YBR292C,29,0.338787063
YBR293W,328,0.25323189
YBR294W,154,0.269054769
YBR295W,341,0.2998453
YBR296C,602,0.301356173
YBR296C-A,25,0.318278278
YBR297W,175,0.314131274
YBR298C,498,0.251281402
YBR298C-A,25,0.512512513
YBR299W,218,0.290749465
YBR300C,67,0.448896658
YBR301W,148,0.418621324
YBR302C,31,0.43853531
YCL001W,644,0.318918297
YCL001W-A,170,0.288894777
YCL001W-B,167,0.307157457
YCL002C,3,0.35702369
YCL004W,476,0.27291367
YCL005W,249,0.397662723
YCL005W-A,171,0.422000948
YCL007C,10,0.344644645
YCL008C,390,0.361605195
YCL009C,388,0.306811967
YCL010C,364,0.353796104
YCL011C,587,0.268877054
YCL012C,7,0.561704562
YCL014W,187,0.361891303
YCL016C,402,0.372317591
YCL017C,572,0.302311052
YCL018W,1096,0.304457742
YCL019W,17,0.282164517
YCL020W,61,0.33037956
YCL021W-A,15,0.467400734
YCL022C,2,0.493993994
YCL023C,10,0.484484484
YCL024W,342,0.26920195
YCL025C,182,0.289003289
YCL026C-A,102,0.339290271
YCL026C-B,108,0.34468728
YCL027W,178,0.420347314
YCL028W,211,0.398251332
YCL029C,318,0.441394224
YCL030C,1175,0.334371819
YCL031C,414,0.552139096
YCL032W,183,0.371994946
YCL033C,465,0.275688592
YCL034W,83,0.421964133
YCL035C,304,0.308137084
YCL036W,186,0.286770642
YCL037C,538,0.296294436
YCL038C,161,0.341391081
YCL039W,192,0.308918293
YCL040W,624,0.405899489
YCL041C,3,0.62962963
YCL042W,67,0.400310759
YCL043C,850,0.323044221
YCL044C,103,0.368844573
YCL045C,170,0.346093152
YCL046W,7,0.845559846
YCL047C,133,0.408656777
YCL048W,163,0.330569834
YCL048W-A,79,0.360816513
YCL049C,80,0.370207708
YCL050C,80,0.385347848
YCL051W,81,0.38497757
YCL052C,87,0.448908679
YCL054W,730,0.527236826
YCL055W,200,0.328588589
YCL056C,60,0.418868869
YCL057C-A,210,0.378397445
YCL057W,302,0.26608065
YCL058C,107,0.316774719
YCL058W-A,56,0.425800801
YCL059C,670,0.512682832
