,genes,smf,dmf,rank,positive_rank,negative_rank,positive_weighted_rank,negative_weighted_rank,absolute_weighted_rank
4345,YMR315W-A,1.0259999999999885,0.00016361079073536248,553.0,0.0489085121911514,-0.050814244433157504,8.844215586103326e-05,-9.188832628057414e-05,0.0001803304821416074
4346,YMR316C-A,1.0410000000000863,0.0001820943126717469,4144.0,0.22320122786096336,-0.2460368137106074,5.386130015949888e-05,-5.9371817980358935e-05,0.00011323311813985779
4347,YMR316C-B,1.0540000000000642,0.00018541057209573702,4129.0,0.2572335909010902,-0.19741293617122588,6.229924700922504e-05,-4.781131900489849e-05,0.00011011056601412351
4348,YMR316W,1.0220000000000198,0.00018198341436018333,5224.0,0.3114134228171113,-0.3393212361725294,5.961206409209635e-05,-6.495429482628817e-05,0.00012456635891838451
4349,YMR317W,1.0119999999999862,0.0001777656399910761,4172.0,0.2263415939481671,-0.20821118422422916,5.425253929725962e-05,-4.990680350532817e-05,0.0001041593428025878
4350,YMR318C,1.0389999999999509,0.0001853454743838445,5230.0,0.280379704457136,-0.2589253525488662,5.360988612947151e-05,-4.950771559251744e-05,0.00010311760172198896
4351,YMR319C,1.0187999999998807,0.00018123817744447512,5258.0,0.2466382407261572,-0.2870311157114225,4.69072348281014e-05,-5.458940960658474e-05,0.00010149664443468612
4352,YMR320W,1.0239999999999598,0.0001790403937400037,4122.0,0.1805581556981704,-0.21066198911731074,4.380353122226356e-05,-5.110674165873623e-05,9.49102728809998e-05
4353,YMR321C,0.9805000000000104,0.0001792776529117083,4247.0,0.3182956407106577,-0.3077258390996693,7.494599498720456e-05,-7.245722606538012e-05,0.00014740322105258466
4354,YMR322C,1.0455000000000825,0.00019063501518982483,4303.0,0.1914877839276435,-0.24848493115554496,4.450099556766059e-05,-5.774690475378689e-05,0.00010224790032144748
4355,YMR325W,1.0059999999999452,0.00018327870061153346,3840.0,0.19011279497676234,-0.2191440150108872,4.950854035853186e-05,-5.706875390908521e-05,0.00010657729426761706
4356,YMR326C,1.0005000000000763,0.0001751449630743956,4125.0,0.2418177148494504,-0.24558638867119115,5.862247632713949e-05,-5.953609422331907e-05,0.00011815857055045857
4357,YNL001W,0.90419999999995,0.00016014921626538394,5176.0,0.2788678767054432,-0.3743711991557338,5.387710137276724e-05,-7.232828422637825e-05,0.0001262053855991455
4358,YNL002C,0.8671952343128466,0.0001537168860866079,5151.0,0.2663108826604837,-0.265973136034389,5.1700812009412485e-05,-5.163524287213919e-05,0.00010333605488155168
4359,YNL003C,0.7359999999999308,0.00013064120479527901,5184.0,0.5342700164274747,-0.5232878799841776,0.00010306134576147275,-0.00010094287808336758,0.00020400422384484032
4360,YNL004W,0.9875000000001264,0.00017540220651797458,5152.0,0.34194655835892673,-0.36697251351743904,6.637161458830099e-05,-7.122913694049671e-05,0.0001376007515287977
4361,YNL005C,0.972499999999942,0.00017709529414513983,4152.0,0.2552308519030421,-0.31210994238040274,6.14717851404244e-05,-7.517098804922994e-05,0.00013664277318965436
4362,YNL006W,0.8249222932057093,0.00014556435709284354,5185.0,0.6110282033721461,-0.7124667077550644,0.00011784536227042356,-0.00013740920110994493,0.0002552545633803685
