,Gene Name,ORF,SD Localization,SD Intensity (Median),SD STD,N' NOP1pr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' TEF2pr-mCherry in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NATIVEpr-GFP in SD Intensity
270,TIR2,YOR010C,,,,"cell periphery,vacuole",85.3256,"cell periphery,vacuole",40.2912,vacuole,18.5661
268,TIR3,YIL011W,,,,"cell periphery,vacuole membrane",44.1248,"cell periphery,vacuole",16.1209,below threshold,18.9305
186,TIR4,YOR009W,,,,vacuole,76.3879,"cell periphery,vacuole",25.2967,missing,0.0
1929,TIS11,YLR136C,cytosol,27.56,10.9412,cytosol,34.4944,below threshold,322.83,cytosol,27.9219
74,TKL1,YPR074C,,,,nucleus,241.679,nucleus,283.388,nucleus,250.845
527,TKL2,YBR117C,nucleus,26.56,13.0828,nucleus,231.91299999999998,nucleus,282.177,nucleus,26.311999999999998
108,TLG1,YDR468C,,,,punctate,95.2129,"punctate,vacuole",210.952,punctate,39.8688
397,TLG2,YOL018C,,,,punctate,75.0109,"punctate,vacuole",88.6574,punctate,19.4886
2063,TMA10,YLR327C,cytosol,41.75,51.7795,"cytosol,punctate",161.263,"cytosol,punctate",,below threshold,18.5635
1214,TMA108,YIL137C,below threshold,16.12,4.36075,cytosol,156.70600000000002,cytosol,194.167,cytosol,33.9727
744,TMA16,YOR252W,nucleus,43.38,9.04031,nucleus,165.748,nucleus,211.97,nucleus,52.8179
662,TMA17,YDL110C,cytosol,72.8,27.1732,cytosol,157.89700000000002,cytosol,271.908,cytosol,24.3524
1744,TMA19,YKL056C,below threshold,15.77,4.3409699999999996,cytosol,471.523,missing,0.0,cytosol,27.86
2369,TMA20,YER007C-A,cytosol,68.95,13.902000000000001,,,,,,
1846,TMA22,YJR014W,cytosol,91.57,21.8141,cytosol,242.96200000000002,vacuole,0.0,cytosol,90.79899999999999
143,TMA23,YMR269W,below threshold,17.41,3.7516599999999998,nucleolus,122.62899999999999,"nucleus,nucleolus",156.339,nucleolus,26.1585
618,TMA46,YOR091W,,,,cytosol,98.0566,cytosol,90.0478,cytosol,90.3084
1321,TMA64,YDR117C,below threshold,15.55,3.18321,cytosol,70.3435,missing,0.0,cytosol,30.8773
1093,TMA7,YLR262C-A,cytosol,94.47,25.6262,cytosol,441.574,cytosol,785.76,cytosol,88.6803
886,TMC1,YOR052C,,,,nucleus,57.5485,nucleus,20.5596,nucleus,57.886
464,TMH11,YJR085C,,,,mitochondria,151.493,mitochondria,104.851,punctate,23.7241
465,TMH18,YPR098C,,,,mitochondria,41.7615,mitochondria,25.261,below threshold,25.8936
2275,TML25,YLR118C,,,,cytosol,291.296,"ER,vacuole",,cytosol,38.6114
964,TMN2,YDR107C,below threshold,17.3,4.89956,punctate,91.7515,vacuole,72.1607,punctate,22.5689
410,TMN3,YER113C,punctate,28.88,7.6584699999999994,"punctate,mitochondria",67.2462,missing,26.0911,punctate,29.2451
111,TMS1,YDR105C,vacuole membrane,31.18,8.46505,"punctate,vacuole membrane",60.7428,vacuole membrane,147.787,below threshold,22.7092
1615,TMT1,YER175C,cytosol,23.04,9.10737,cytosol,104.71,cytosol,163.59,cytosol,35.5146
55,TNA1,YGR260W,ER,193.95,79.8155,"cell periphery,vacuole",90.9742,"cell periphery,vacuole",145.541,vacuole,30.6192
611,TOA1,YOR194C,below threshold,15.78,4.65963,nucleus,91.5513,"nucleus,nucleolus",38.3793,nucleus,35.8675
579,TOA2,YKL058W,below threshold,15.48,3.6078099999999997,nucleus,79.4194,cytosol,45.7393,nucleus,27.3041
1718,TOD6,YBL054W,below threshold,16.23,3.5345800000000005,cytosol,66.794,cytosol,45.4741,cytosol,38.2279
1113,TOF1,YNL273W,below threshold,17.08,3.5042800000000005,nucleus,57.7017,nucleus,101.304,nucleus,23.1848
108,TOF2,YKR010C,nucleolus,24.46,5.96537,nucleolus,48.2496,"nucleus,nucleolus",25.394000000000002,"punctate,nucleolus",24.3787
22,TOG1,YER184C,,,,nucleus,67.2945,nucleus,62.2657,below threshold,13.2003
856,TOH1,YJL171C,,,,ER,128.386,"cell periphery,vacuole",49.0389,ER,33.5783
87,TOK1,YJL093C,below threshold,16.66,4.5315900000000005,cell periphery,74.1578,"cell periphery,vacuole",104.29899999999999,below threshold,18.8317
1334,TOM1,YDR457W,nucleolus,34.84,9.20481,cytosol,26.6002,below threshold,7.5865800000000005,cytosol,23.5925
2380,TOM20,YGR082W,below threshold,16.96,4.4394599999999995,,,,,,
14,TOM22,YNL131w,,,,mitochondria,149.69,mitochondria,99.0005,mitochondria,87.2854
30,TOM5,YPR133W-A,,,,mitochondria,104.865,mitochondria,202.313,below threshold,18.6367
23,TOM6,YOR045w,,,,mitochondria,175.919,mitochondria,103.76899999999999,mitochondria,78.5125
9,TOM7,YNL070W,,,,mitochondria,97.0272,mitochondria,72.4495,mitochondria,31.0721
1704,TOM70,YNL121C,mitochondria,122.6,31.3176,cytosol,198.387,cytosol,0.0,cytosol,60.2536
1737,TOM71,YHR117W,mitochondria,37.52,9.66901,cytosol,156.453,punctate,171.6,cytosol,26.9234
648,TOP1,YOL006C,cytosol,18.84,4.03115,"punctate,nucleus",74.4724,nucleus,74.9966,"nucleus,nucleolus",26.3791
361,TOP2,YNL088W,nucleus,42.07,15.3,nucleus,167.063,nucleus,203.15,nucleus,28.165
669,TOP3,YLR234W,nucleus,19.8,4.856319999999999,cytosol,34.9123,nucleus,24.3342,below threshold,19.8962
184,TOR1,YJR066W,below threshold,14.18,3.3374699999999997,"cytosol,punctate,vacuole membrane",48.3635,"punctate,vacuole membrane",22.3735,below threshold,15.2467
246,TOS1,YBR162C,vacuole,34.45,12.0011,"cell periphery,ER,vacuole",129.85399999999998,"cell periphery,vacuole",58.7854,cytosol,126.699
6,TOS2,YGR221C,below threshold,15.36,3.7807199999999996,"cytosol,bud",52.619,bud,76.5995,bud,20.684
890,TOS3,YGL179C,,,,"cytosol,punctate",35.6025,punctate,11.1715,below threshold,21.7793
1293,TOS4,YLR183C,nucleus:cytosol,17.57,4.83115,nucleus,48.4773,"cytosol,nucleus",20.5406,nucleus,22.0601
290,TOS6,YNL300W,,,,"cell periphery,vacuole",40.6076,"cell periphery,vacuole",16.9062,cytosol,34.751
314,TOS8,YGL096W,below threshold,16.59,4.18076,"punctate,nucleus",54.7651,nucleus,11.4287,below threshold,19.4837
945,TPA1,YER049W,,,,nucleus,194.30700000000002,nucleus,232.38,nucleus,72.9311
86,TPC1,YGR096W,below threshold,14.91,3.96481,mitochondria,42.5282,mitochondria,0.0,below threshold,20.5716
1735,TPD3,YAL016W,,,,cytosol,165.47400000000002,nucleus,175.648,cytosol,63.2278
2276,TPH3,YJL016W,,,,cytosol,57.3423,cytosol,22.3338,cytosol,24.6715
881,TPI1,YDR050C,cytosol,1013.75,261.932,cytosol,501.909,cytosol,588.648,cytosol,948.535
86,TPK1,YJL164C,nucleus:cytosol,33.6,10.7808,below threshold,12.7928,missing,,below threshold,20.7153
1897,TPK2,YPL203W,below threshold,14.12,3.89945,cytosol,85.8512,"cell periphery,vacuole",0.0,cytosol,22.7602
1561,TPK3,YKL166C,below threshold,15.21,4.54249,"cytosol,nucleus",56.1185,missing,,missing,0.0
47,TPM1,YNL079C,below threshold,15.02,4.35864,"cytosol,bud",340.12199999999996,cytosol,589.639,"punctate,bud",173.667
357,TPM2,YIL138C,cytosol,65.91,16.3889,cytosol,184.611,cytosol,265.284,"cytosol,punctate",94.6505
29,TPN1,YGL186C,ER,20.58,6.67243,vacuole,37.578,"cell periphery,vacuole",74.7639,"ER,vacuole",26.9406
123,TPO1,YLL028W,,,,cell periphery,69.328,"cell periphery,vacuole",99.2565,cell periphery,35.899
86,TPO2,YGR138C,cell periphery,29.63,12.4894,cell periphery,118.898,"cell periphery,vacuole",180.40400000000002,cell periphery,37.4697
186,TPO3,YPR156C,below threshold,14.78,4.650580000000001,cell periphery,105.147,"cell periphery,vacuole",129.95,missing,
161,TPO4,YOR273C,below threshold,16.96,5.31923,cell periphery,53.9948,"cell periphery,vacuole",68.5619,cell periphery,29.9529
269,TPO5,YKL174C,,,,ER,53.6187,ER,59.6084,below threshold,23.8203
474,TPP1,YMR156C,below threshold,18.07,5.02684,nucleus,111.13600000000001,nucleus,132.849,"punctate,nucleus",20.1433
919,TPS1,YBR126C,below threshold,15.44,3.35187,cytosol,165.764,cytosol,234.889,cytosol,181.295
1256,TPS2,YDR074W,cytosol,141.13,53.7306,cytosol,105.471,cytosol,101.28299999999999,cytosol,56.977
861,TPS3,YMR261C,cytosol,74.56,20.5411,cytosol,157.821,cytosol,148.292,cytosol,26.4937
1622,TPT1,YOL102C,below threshold,19.64,4.84077,cytosol,108.086,cytosol,209.50599999999997,cytosol,23.0175
417,TRA1,YHR099W,,,,"cytosol,nucleolus",59.1547,nucleus,36.158,nucleus,23.7912
389,TRE1,YPL176C,below threshold,17.76,4.1443900000000005,"punctate,vacuole",48.4426,vacuole,65.9709,below threshold,22.3058
2400,TRE2,YOR256C,below threshold,16.12,3.79817,,,,,,
230,TRF5,YNL299W,below threshold,17.39,2.91978,"nucleus,nucleolus",47.7945,"punctate,nucleus,nucleolus",9.27685,"nucleus,nucleolus",27.7294
353,TRI1,YMR233W,nucleolus,25.06,6.03791,"cytosol,punctate",47.3159,"nucleus,nucleolus",67.1462,"nucleus,nucleolus",23.7516
89,TRK1,YJL129C,below threshold,18.4,5.462269999999999,"cell periphery,punctate",24.4585,"cell periphery,punctate",23.4926,below threshold,18.5558
106,TRK2,YKR050W,below threshold,14.9,4.4379,cell periphery,47.3652,"cell periphery,vacuole",55.5492,below threshold,14.0356
1084,TRL1,YJL087C,cytosol,41.33,9.26103,cytosol,112.57700000000001,cytosol,118.42200000000001,cytosol,35.7626
147,TRM1,YDR120C,below threshold,14.44,3.37972,mitochondria,120.91799999999999,missing,150.082,nucleus,47.435
733,TRM10,YOL093W,nucleus,34.9,10.3552,nucleus,90.1219,nucleus,126.875,nucleus,32.2283
610,TRM11,YOL124C,below threshold,15.68,3.70255,cytosol,112.29799999999999,cytosol,89.1515,cytosol,37.8027
43,TRM112,YNR046W,nucleus:cytosol,111.19,28.1235,nucleolus,143.80700000000002,"nucleus,nucleolus",194.34900000000002,"nucleus,nucleolus",103.137
759,TRM12,YML005W,below threshold,18.02,4.43067,cytosol,75.671,cytosol,105.479,below threshold,17.3407
844,TRM13,YOL125W,nucleus,21.15,4.70174,nucleus,101.00299999999999,nucleus,151.209,nucleus,25.6645
560,TRM2,YKR056W,cytosol,19.05,4.24841,"ER,punctate",43.9368,ER,26.5832,below threshold,19.1603
627,TRM3,YDL112W,cytosol,28.79,6.85641,punctate,148.266,punctate,158.299,"ambiguous,punctate",44.7954
1487,TRM44,YPL030W,below threshold,15.56,4.22052,cytosol,79.5003,cytosol,111.743,cytosol,36.2524
1904,TRM5,YHR070W,nucleus:cytosol,57.83,15.9573,"cytosol,nucleus",126.215,"cell periphery,vacuole",0.0,nucleus,28.5347
1592,TRM7,YBR061C,cytosol,36.48,8.77794,cytosol,113.22399999999999,cytosol,103.689,cytosol,36.6761
368,TRM732,YMR259C,,,,cytosol,87.9047,cytosol,66.9836,cytosol,41.3017
437,TRM8,YDL201W,nucleus,46.17,11.4514,nucleus,138.111,nucleus,178.606,nucleus,84.7101
403,TRM82,YDR165W,,,,nucleus,159.88299999999998,nucleus,237.893,nucleus,62.3067
118,TRM9,YML014W,cytosol,27.74,7.742369999999999,below threshold,0.0,cytosol,132.507,cytosol,46.2049
76,TRP1,YDR007W,cytosol,31.71,9.106119999999999,below threshold,15.8551,below threshold,6.31222,below threshold,17.4984
2092,TRP2,YER090W,cytosol,81.31,21.9998,cytosol,260.695,cytosol,0.0,cytosol,69.7604
596,TRP3,YKL211C,cytosol,97.44,27.8543,cytosol,159.928,cytosol,234.361,cytosol,71.1993
1987,TRP4,YDR354W,cytosol,45.78,12.513,cytosol,131.365,cytosol,205.472,cytosol,54.8357
1359,TRP5,YGL026C,below threshold,16.92,3.64035,cytosol,335.159,cytosol,354.44300000000004,missing,
1251,TRR1,YDR353W,cytosol,312.58,102.22399999999999,cytosol,285.57099999999997,cytosol,349.685,cytosol,289.285
211,TRR2,YHR106W,mitochondria,18.62,5.69294,mitochondria,182.93200000000002,"punctate,mitochondria",113.693,below threshold,16.234
86,TRS120,YDR407C,,,,punctate,65.5911,"punctate,nucleus",44.6533,punctate,23.5084
2419,TRS130,YMR218C,below threshold,15.33,3.98865,,,,,,
18,TRS20,YBR254C,punctate,22.64,6.3406400000000005,"cytosol,punctate",66.086,"cytosol,punctate",24.8095,punctate,23.4055
32,TRS23,YDR246W,punctate,18.91,5.0899,punctate,69.6014,cytosol,61.9639,punctate,35.7948
56,TRS31,YDR472W,,,,"cytosol,punctate",99.9891,"cytosol,punctate",128.464,punctate,41.313
251,TRS33,YOR115C,punctate,19.81,4.15222,"cytosol,punctate",93.2799,"cytosol,punctate",96.2787,punctate,24.4902
226,TRX1,YLR043C,below threshold,14.89,3.90144,"cytosol,nucleus",450.334,"cytosol,nucleus",843.551,"cytosol,nucleus",149.27
125,TRX3,YCR083W,mitochondria,32.81,8.93689,mitochondria,167.347,mitochondria,272.942,"cytosol,punctate",33.0803
2424,TRZ1,YKR079C,nucleus,33.31,8.63092,,,,,,
232,TSA1,YML028W,cytosol,982.33,270.58799999999997,cytosol,401.43699999999995,cytosol,456.901,cytosol,663.576
2020,TSA2,YDR453C,cytosol,32.67,11.8211,cytosol,321.27,cytosol,127.564,cytosol,47.1059
31,TSC10,YBR265W,ER,25.73,6.908460000000001,"ER,punctate",75.7911,"ER,punctate",99.3913,"ambiguous,ER",25.9133
96,TSC11,YER093C,cytosol,21.93,4.93037,cytosol,31.8665,cytosol,25.7602,below threshold,19.3682
123,TSC13,YDL015C,punctate:ER,76.58,21.311999999999998,"ER,punctate",170.452,"ER,vacuole",354.519,"ER,punctate",86.3238
84,TSC3,YBR058C-A,ER,39.1,10.3655,ER,91.7076,"ER,vacuole",52.458999999999996,ER,61.7903
1255,TSL1,YML100W,cytosol,117.76,39.5126,cytosol,107.931,cytosol,100.075,cytosol,49.7468
917,TSR2,YLR435W,nucleus:cytosol,58.0,15.8801,"cytosol,nucleus",134.474,nucleus,164.467,nucleus,42.0945
650,TSR3,YOR006C,cytosol,36.59,9.4489,"cytosol,punctate",83.5233,punctate,103.902,cytosol,32.1619
685,TSR4,YOL022C,below threshold,16.96,3.72687,cytosol,166.167,cytosol,326.222,cytosol,42.5802
1045,TTI1,YKL033W,cytosol,22.48,4.81299,cytosol,57.0364,cytosol,25.4057,below threshold,23.7315
331,TTI2,YJR136C,cytosol,21.76,4.78625,cytosol,44.3929,nucleus,22.7103,below threshold,25.7927
270,TUB1,YML085C,,,,punctate,278.687,missing,,missing,
206,TUB2,YFL037W,,,,punctate,315.29400000000004,missing,,missing,0.0
288,TUB3,YML124C,punctate:cytosol,49.48,12.4807,punctate,253.13400000000001,punctate,220.94,below threshold,14.2891
287,TUB4,YLR212C,punctate,32.29,9.09094,punctate,75.2866,"punctate,nucleus",118.475,punctate,33.9481
