,Gene Name,ORF,SD Localization,SD Intensity (Median),SD STD,N' NOP1pr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' TEF2pr-mCherry in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NATIVEpr-GFP in SD Intensity
594,ARI1,YGL157W,cytosol,50.54,13.7083,cytosol,260.404,cytosol,364.286,cytosol,71.9766
18,ARK1,YNL020C,punctate,22.26,5.82314,"punctate,bud",58.7628,"punctate,bud neck",58.1393,"punctate,bud neck",28.2716
1,ARL1,YBR164C,below threshold,12.69,3.9363699999999997,cytosol,188.011,"cytosol,nucleus",298.127,cytosol,83.43799999999999
307,ARL3,YPL051W,,,,cytosol,108.37100000000001,cytosol,179.739,cytosol,21.5858
68,ARN1,YHL040C,below threshold,15.27,3.88239,"cell periphery,vacuole",57.5364,missing,,below threshold,0.0
37,ARN2,YHL047C,below threshold,15.84,4.1805699999999995,vacuole,59.4286,vacuole,94.8622,below threshold,15.575999999999999
1032,ARO1,YDR127W,cytosol,154.26,42.6046,cytosol,275.079,cytosol,192.005,cytosol,85.7207
41,ARO10,YDR380W,cytosol,107.46,48.9853,cytosol,184.34400000000002,cytosol,217.93900000000002,below threshold,23.1417
155,ARO2,YGL148W,cytosol,146.19,38.0169,,,,,,
666,ARO3,YDR035W,below threshold,17.98,4.41798,nucleus,342.62300000000005,nucleus,385.87800000000004,nucleus,158.298
1020,ARO4,YBR249C,below threshold,18.39,3.7694699999999997,nucleus,385.444,nucleus,386.62,nucleus,284.159
1105,ARO7,YPR060C,cytosol,68.63,17.8995,cytosol,152.737,cytosol,171.84599999999998,cytosol,45.3613
882,ARO8,YGL202W,cytosol,218.62,54.3566,cytosol,443.16900000000004,cytosol,506.781,cytosol,98.6687
150,ARO80,YDR421W,nucleus,16.97,4.7072199999999995,below threshold,13.4049,nucleus,29.421999999999997,below threshold,19.7382
1461,ARO9,YHR137W,cytosol,102.01,55.0659,cytosol,157.958,cytosol,239.084,cytosol,30.6885
1654,ARP1,YHR129C,cytosol,19.89,5.3097199999999996,cytosol,52.9785,punctate,12.5709,below threshold,18.3419
114,ARP10,YDR106W,below threshold,16.43,3.9757800000000003,below threshold,20.3125,below threshold,8.68264,below threshold,18.4686
162,ARP2,YDL029W,below threshold,14.95,3.79124,,,,,,
2212,ARP3,YJR065C,,,,"cytosol,punctate",91.5136,missing,7.38926,below threshold,21.1259
1311,ARP4,YJL081C,below threshold,16.12,3.6649,nucleus,76.3616,nucleus,88.7646,nucleus,31.906999999999996
820,ARP5,YNL059C,nucleus,31.97,7.5693600000000005,nucleus,105.51899999999999,nucleus,91.8345,nucleus,54.8972
942,ARP6,YLR085C,nucleus,17.86,4.50475,"punctate,nucleus",59.1863,"punctate,nucleus",13.9555,"punctate,nucleus",20.2056
1707,ARP7,YPR034W,nucleus,55.94,12.1109,"cytosol,nucleus",92.0276,nucleus,75.0831,nucleus,43.7775
743,ARP8,YOR141C,below threshold,14.62,3.8144099999999996,nucleus,72.4452,nucleus,65.9285,nucleus,33.3126
759,ARP9,YMR033W,below threshold,15.94,4.1872300000000005,nucleus,93.3945,nucleus,99.7581,nucleus,39.219
2149,ARR1,YPR199C,below threshold,17.24,3.82956,"cytosol,punctate,nucleus",40.3158,below threshold,0.0,below threshold,18.0458
1679,ARR2,YPR200C,,,,cytosol,81.4503,below threshold,8.492560000000001,below threshold,16.0842
481,ARR3,YPR201W,below threshold,15.87,4.3026599999999995,"punctate,vacuole",66.182,"ER,vacuole",121.95200000000001,below threshold,20.0879
756,ART10,YLR392C,below threshold,19.04,6.08901,"cytosol,nucleus",64.9831,cytosol,74.8977,"ambiguous,punctate",23.6985
126,ART5,YGR068C,cytosol,23.77,5.30892,cytosol,48.0679,cytosol,63.1451,below threshold,21.1716
310,ARV1,YLR242C,below threshold,16.14,5.905469999999999,ER,48.6369,ER,52.2171,below threshold,16.3427
237,ARX1,YDR101C,nucleus,132.73,33.1945,nucleus,177.987,nucleus,182.96400000000003,nucleus,71.309
1899,ASA1,YPR085C,below threshold,16.57,3.8360000000000003,cytosol,84.5623,"cell periphery,vacuole",115.75200000000001,below threshold,14.8331
637,ASC1,YMR116C,below threshold,17.75,3.7106199999999996,cytosol,452.61400000000003,cytosol,472.074,cytosol,1720.53
721,ASE1,YOR058C,below threshold,16.72,4.156569999999999,punctate,33.5128,punctate,7.90408,punctate,20.0684
868,ASF1,YJL115W,below threshold,15.84,3.9882400000000002,nucleus,121.76700000000001,nucleus,220.59900000000002,nucleus,45.3354
76,ASF2,YDL197C,below threshold,15.41,3.56639,nucleus,45.0364,nucleus,22.6743,punctate,26.2207
833,ASG1,YIL130W,nucleus,32.26,7.512230000000001,nucleus,57.5897,nucleus,48.4916,nucleus,22.7036
247,ASG7,YJL170C,below threshold,16.09,3.50085,"punctate,vacuole",58.8815,vacuole,96.9169,below threshold,20.7854
429,ASH1,YKL185W,nucleus,18.43,4.98205,nucleus,31.9087,nucleus,10.1719,nucleus,25.344
356,ASI1,YMR119W,nuclear periphery,19.91,4.670780000000001,nuclear periphery,19.2497,nuclear periphery,9.64742,below threshold,18.1417
466,ASI2,YNL159C,below threshold,14.91,3.9207099999999997,"ER,punctate",40.0114,"ER,punctate",11.0668,"ER,punctate",20.3573
411,ASI3,YNL008C,below threshold,16.65,4.06564,nuclear periphery,30.9242,"punctate,nuclear periphery",13.2181,below threshold,20.3134
278,ASK1,YKL052C,punctate,29.88,7.689589999999999,"punctate,nucleus",56.4739,"punctate,nucleus",44.1365,punctate,31.668000000000003
1024,ASK10,YGR097W,cytosol,29.56,6.89791,cytosol,96.1833,cytosol,66.6971,below threshold,28.2413
622,ASM4,YDL088C,nuclear periphery,39.34,9.154860000000001,"punctate,nuclear periphery",52.3544,"punctate,nuclear periphery",18.0627,"punctate,nuclear periphery",27.6018
1848,ASN1,YPR145W,cytosol,827.5,249.33700000000002,cytosol,157.11,"cell periphery,vacuole",0.0,cytosol,385.82300000000004
339,ASN2,YGR124W,cytosol,283.87,69.6213,cytosol,232.457,cytosol,262.293,cytosol,139.029
744,ASP1,YDR321W,below threshold,17.09,4.03734,"cytosol,punctate",294.105,punctate,304.712,"cytosol,punctate",43.1491
1847,ASP3-1,YLR155C,below threshold,16.32,4.01371,"cytosol,nucleus",138.32,vacuole,0.0,"cytosol,punctate",19.8672
189,ASP3-3,YLR158C,below threshold,15.63,3.86305,,,,,,
263,ASP3-4,YLR160C,below threshold,13.29,3.4639699999999998,"cell periphery,vacuole",75.8092,"ER,vacuole",15.8645,below threshold,18.7788
1586,ASR1,YPR093C,cytosol,19.32,5.17836,cytosol,19.4414,below threshold,4.91651,below threshold,18.6473
58,AST1,YBL069W,below threshold,14.97,4.26339,punctate,103.32,"cytosol,punctate",185.668,punctate,32.1987
1417,AST2,YER101C,cytosol,23.03,6.0723199999999995,"cytosol,punctate",133.486,"ambiguous,punctate",193.476,punctate,23.0379
1030,ATE1,YGL017W,below threshold,16.72,3.9806800000000004,"cytosol,nucleus",99.5609,nucleus,122.206,below threshold,26.4004
492,ATF1,YOR377W,below threshold,17.97,4.09397,ER,73.3242,ER,107.271,below threshold,25.6485
195,ATF2,YGR177C,below threshold,17.05,3.4097699999999995,,,,,,
97,ATG1,YGL180W,below threshold,16.36,5.26627,cytosol,48.1528,"cytosol,vacuole",44.0159,below threshold,19.8127
38,ATG10,YLL042C,below threshold,16.51,3.76044,below threshold,16.4543,cytosol,11.1756,below threshold,20.4699
435,ATG11,YPR049C,punctate,18.59,4.55657,punctate,59.2288,punctate,61.68,punctate,21.1449
15,ATG12,YBR217W,below threshold,15.78,4.0959699999999994,cytosol,60.3143,cytosol,47.7837,below threshold,18.7498
315,ATG13,YPR185W,cytosol,21.65,5.14029,cytosol,85.8424,cytosol,83.4361,below threshold,21.0267
30,ATG14,YBR128C,below threshold,16.62,4.29524,vacuole membrane,24.3251,below threshold,8.88103,below threshold,18.9399
116,ATG15,YCR068W,below threshold,18.05,5.03501,ER,61.428000000000004,"ER,vacuole",125.40700000000001,below threshold,22.2941
216,ATG16,YMR159C,cytosol,23.09,4.878830000000001,cytosol,55.943999999999996,cytosol,94.75299999999999,below threshold,19.477
221,ATG17,YLR423C,punctate,17.89,4.72743,"cytosol,nucleus",56.2587,nucleus,104.51700000000001,punctate,18.1224
222,ATG18,YFR021W,cytosol,24.72,6.55399,"punctate,vacuole membrane",76.6125,"punctate,vacuole membrane",103.83,below threshold,16.857
276,ATG19,YOL082W,punctate,17.18,6.3394900000000005,"cytosol,punctate",117.415,"cytosol,punctate",128.22799999999998,punctate,21.2403
301,ATG2,YNL242W,below threshold,16.56,3.73282,cytosol,70.2406,cytosol,57.9017,below threshold,18.6658
28,ATG20,YDL113C,below threshold,17.5,4.36921,punctate,65.5273,"cytosol,punctate",48.7804,below threshold,23.6703
376,ATG21,YPL100W,punctate,26.03,6.25195,"punctate,vacuole membrane",103.912,"punctate,vacuole membrane",74.7975,vacuole membrane,36.0617
18,ATG22,YCL038C,below threshold,15.76,4.37859,vacuole membrane,92.2029,vacuole membrane,158.469,below threshold,23.4044
457,ATG23,YLR431C,below threshold,18.13,4.4269099999999995,cytosol,57.0531,cytosol,85.3799,punctate,23.6519
1005,ATG26,YLR189C,cytosol,20.35,5.24161,cytosol,72.1818,cytosol,73.1007,below threshold,23.1274
236,ATG27,YJL178C,punctate,46.39,9.23212,vacuole,100.681,vacuole,65.8591,"ambiguous,vacuole",42.9864
256,ATG29,YPL166W,punctate,23.54,5.8712,"cytosol,punctate",74.8285,"cytosol,punctate",57.4235,punctate,23.7443
235,ATG3,YNR007C,cytosol,25.89,8.47508,cytosol,71.9235,cytosol,115.04,cytosol,30.7642
43,ATG31,YDR022C,,,,"cytosol,punctate",84.4209,"cytosol,punctate",48.4061,below threshold,19.7336
58,ATG32,YIL146C,below threshold,17.73,3.64212,mitochondria,33.4642,mitochondria,0.0,below threshold,20.5473
20,ATG33,YLR356W,below threshold,16.64,4.5397,mitochondria,42.7207,mitochondria,22.5548,mitochondria,22.9599
277,ATG34,YOL083W,,,,"cytosol,punctate",138.819,"cytosol,punctate",197.582,below threshold,21.7725
259,ATG36,YJL185C,,,,punctate,28.8123,punctate,9.75361,punctate,18.6979
2130,ATG38,YLR211C,,,,cytosol,84.8414,cytosol,163.52,below threshold,21.0689
635,ATG39,YLR312C,,,,nuclear periphery,23.8323,nuclear periphery,52.0108,punctate,19.0307
289,ATG4,YNL223W,cytosol,21.35,6.59588,cytosol,42.5806,cytosol,65.9777,below threshold,22.3279
797,ATG40,YOR152C,,,,ER,34.8074,vacuole,7.105360000000001,below threshold,19.1064
291,ATG42,YBR139W,,,,"cell periphery,vacuole",84.4632,vacuole,70.5717,vacuole,38.5792
255,ATG5,YPL149W,cytosol,18.68,4.57374,"cytosol,nucleus",71.9283,"cytosol,nucleus",55.3526,below threshold,19.3404
154,ATG7,YHR171W,below threshold,17.57,4.217980000000001,cytosol,67.0814,cytosol,75.566,below threshold,22.4142
24,ATG8,YBL078C,below threshold,16.62,4.19876,"cytosol,punctate",75.9418,"cytosol,punctate",189.935,punctate,27.5728
51,ATG9,YDL149W,,,,punctate,46.6433,punctate,51.4089,below threshold,22.0866
423,ATH1,YPR026W,below threshold,15.99,3.7506699999999995,punctate,43.3986,vacuole,36.1128,below threshold,20.1218
419,ATM1,YMR301C,below threshold,14.97,3.9540699999999998,mitochondria,102.96700000000001,mitochondria,,mitochondria,22.7338
369,ATO2,YNR002C,below threshold,15.45,3.97055,"punctate,vacuole",29.9928,"cell periphery,vacuole",20.6655,below threshold,21.0336
19,ATO3,YDR384C,below threshold,16.45,4.00945,"cell periphery,punctate",88.031,"cell periphery,vacuole",173.37,"cell periphery,punctate",66.1619
106,ATP1,YBL099W,mitochondria,565.36,258.296,mitochondria,238.06,missing,,"cytosol,punctate",194.201
282,ATP10,YLR393W,mitochondria,22.25,9.88406,mitochondria,55.9845,mitochondria,65.1924,mitochondria,21.1419
361,ATP11,YNL315C,punctate,17.98,4.30802,mitochondria,91.22399999999999,missing,193.081,punctate,22.1328
391,ATP12,YJL180C,cytosol,109.3,28.9404,mitochondria,19.2199,mitochondria,18.5519,mitochondria,23.695
286,ATP14,YLR295C,below threshold,18.16,3.8328900000000004,mitochondria,100.35799999999999,missing,,missing,
2226,ATP15,YPL271W,below threshold,16.3,4.65003,cytosol,28.5741,cytosol,33.6218,below threshold,18.0384
126,ATP16,YDL004W,below threshold,15.15,3.7929800000000005,mitochondria,140.41899999999998,missing,,"cytosol,punctate",22.0445
170,ATP17,YDR377W,mitochondria,83.96,27.2752,mitochondria,133.612,mitochondria,53.0631,missing,0.0
573,ATP18,YML081C-A,mitochondria,74.88,27.2896,ER,59.8996,ER,17.8187,below threshold,25.3388
631,ATP19,YOL077W-A,mitochondria,47.03,16.2705,"cytosol,punctate",111.415,cytosol,106.389,nucleus,50.497
238,ATP2,YJR121W,mitochondria,549.16,245.63299999999998,mitochondria,190.516,missing,,missing,
153,ATP20,YPR020W,mitochondria,31.64,14.7441,below threshold,14.1627,mitochondria,70.5717,below threshold,17.7905
164,ATP22,YDR350C,below threshold,18.86,4.1805699999999995,mitochondria,44.4238,"punctate,mitochondria",21.2007,mitochondria,18.6968
1667,ATP23,YNR020C,cytosol,21.19,5.26313,"cytosol,nucleus",26.3643,below threshold,5.86229,below threshold,19.1299
303,ATP25,YMR098C,below threshold,17.18,3.95873,mitochondria,63.1719,mitochondria,10.5906,mitochondria,16.4971
400,ATP3,YBR039W,mitochondria,246.98,145.112,mitochondria,74.1831,missing,0.0,mitochondria,18.750999999999998
340,ATP4,YPL078C,,,,mitochondria,187.013,missing,12.6557,punctate,33.5752
155,ATP5,YDR298C,punctate,25.17,9.590539999999999,mitochondria,211.044,mitochondria,286.144,"cytosol,punctate",81.8014
1845,ATP7,YKL016C,mitochondria,120.82,50.5045,cytosol,111.509,vacuole,,below threshold,20.5728
101,ATR1,YML116W,cell periphery,25.91,13.7933,cell periphery,38.6477,"cell periphery,vacuole",62.2929,cell periphery,27.2912
2100,ATS1,YAL020C,below threshold,18.14,4.67711,cytosol,62.2428,cytosol,0.0,below threshold,24.3263
1607,ATX1,YNL259C,below threshold,14.67,4.16179,cytosol,188.903,cytosol,364.526,cytosol,48.3882
521,ATX2,YOR079C,below threshold,15.11,3.89831,ER,72.5797,ER,71.7763,ER,25.0398
61,AUA1,YFL010W-A,below threshold,15.09,4.04033,below threshold,16.8579,below threshold,5.58247,below threshold,20.8158
348,AUR1,YKL004W,punctate,53.1,15.3012,"ER,punctate",67.4832,"ER,punctate",65.0518,punctate,33.0177
178,AUS1,YOR011W,below threshold,15.92,3.60311,"cell periphery,ER",123.318,"cell periphery,vacuole",119.60600000000001,below threshold,19.1993
34,AVL9,YLR114C,"cytosol, bud neck",,11.4311,"punctate,bud neck",57.9707,"punctate,bud neck",68.7695,bud neck,32.2181
274,AVO1,YOL078W,below threshold,20.25,5.83827,cytosol,33.2208,cytosol,32.3675,below threshold,18.6493
198,AVO2,YMR068W,below threshold,19.71,4.5029,cytosol,44.1323,"cytosol,nucleus",41.1212,below threshold,22.4
64,AVT1,YJR001W,below threshold,18.51,6.21445,vacuole membrane,55.1872,vacuole membrane,44.1346,below threshold,29.0394
58,AVT3,YKL146W,below threshold,19.84,5.41715,vacuole membrane,48.0321,vacuole membrane,73.7957,vacuole membrane,22.7064
241,AVT4,YNL101W,below threshold,21.18,5.839580000000001,,,,,,
60,AVT5,YBL089W,below threshold,13.73,3.9786300000000003,punctate,40.579,punctate,57.2134,below threshold,19.3239
42,AVT6,YER119C,below threshold,13.95,3.69717,vacuole membrane,87.6018,vacuole membrane,147.046,vacuole,22.3671
41,AVT7,YIL088C,ER,18.64,4.5332300000000005,vacuole membrane,65.2649,vacuole membrane,91.6231,vacuole membrane,22.0029
91,AXL1,YPR122W,punctate,62.17,21.9559,bud neck,45.6889,"ER,punctate",26.8893,below threshold,21.4145
201,AXL2,YIL140W,bud neck,,7.3152,vacuole,45.3431,vacuole,23.8931,ambiguous,22.4515
201,AYR1,YIL124W,,,,"ER,punctate",111.94200000000001,"ER,punctate",159.345,below threshold,19.2664
388,AYT1,YLL063C,below threshold,16.39,3.6670199999999995,"cytosol,punctate",32.7786,cytosol,26.1385,below threshold,18.1178
580,AZF1,YOR113W,below threshold,16.62,3.77618,nucleus,45.9271,nucleus,31.1964,nucleus,20.2236
53,AZR1,YGR224W,below threshold,17.89,4.17732,cell periphery,77.0237,"cell periphery,vacuole",113.583,cell periphery,23.4541
1099,BAG7,YOR134W,below threshold,18.68,4.5361,cytosol,51.4191,cytosol,35.3552,below threshold,20.366
86,BAP2,YBR068C,below threshold,14.64,3.9603300000000004,ER,42.8893,"cell periphery,vacuole",53.5552,missing,0.0
98,BAP3,YDR046C,vacuole membrane,88.08,25.0219,ER,71.1106,"ER,vacuole",69.8112,ER,18.5826
269,BAR1,YIL015W,vacuole,23.4,10.5267,cell periphery,22.0384,"cell periphery,vacuole",7.83188,below threshold,18.6924
827,BAS1,YKR099W,nucleus,24.18,5.03155,nucleus,44.2191,nucleus,53.8693,nucleus,30.4529
217,BAT1,YHR208W,below threshold,17.47,4.094869999999999,mitochondria,139.879,mitochondria,268.26599999999996,cytosol,242.2
584,BAT2,YJR148W,below threshold,17.25,3.71012,cytosol,224.93900000000002,cytosol,347.50199999999995,cytosol,24.4572
41,BBC1,YJL020C,below threshold,18.71,4.91993,"punctate,bud",132.922,bud neck,148.02200000000002,"punctate,bud neck",36.6968
735,BBP1,YPL255W,punctate,20.86,5.83531,punctate,53.1259,missing,,missing,
1153,BCD1,YHR040W,nucleus,25.52,6.25033,nucleus,63.6156,nucleus,81.4611,nucleus,27.8656
360,BCH1,YMR237W,punctate,46.06,10.299000000000001,punctate,154.806,"cytosol,punctate",210.36900000000003,punctate,56.0088
281,BCH2,YKR027W,below threshold,18.78,4.19661,punctate,54.1222,"cytosol,punctate",56.7963,punctate,24.4565
32,BCK1,YJL095W,cytosol,21.34,4.6767199999999995,bud neck,55.6032,bud neck,52.1793,below threshold,16.0446
1685,BCK2,YER167W,nucleus:cytosol,18.61,5.23114,"cytosol,nucleus",32.742,nucleus,18.686,"ambiguous,nucleus",20.3519
477,BCP1,YDR361C,nucleus,86.33,25.6867,nucleus,174.894,nucleus,210.352,nucleus,69.7183
552,BCS1,YDR375C,mitochondria,17.98,5.562530000000001,"punctate,nuclear periphery",82.574,missing,,below threshold,19.0228
1023,BCY1,YIL033C,,,,"cytosol,nucleus",237.298,cytosol,235.293,below threshold,19.3893
1242,BDF1,YLR399C,,,,nucleus,67.7536,nucleus,174.201,nucleus,31.1064
259,BDF2,YDL070W,nucleus,46.28,12.9118,"cell periphery,ER,punctate",45.4143,"cell periphery,vacuole",19.7099,nuclear periphery,49.3582
1412,BDH1,YAL060W,below threshold,16.76,4.22114,cytosol,135.03799999999998,cytosol,217.528,cytosol,51.3626
1385,BDH2,YAL061W,cytosol,20.76,6.36876,cytosol,48.9893,cytosol,17.0561,below threshold,17.9768
993,BDP1,YNL039W,nucleus,29.39,6.61742,nucleus,52.2297,nucleus,28.6491,nucleus,31.5979
1695,BDS1,YOL164W,,,,cytosol,113.595,cytosol,89.1386,below threshold,18.5789
40,BEM1,YBR200W,bud neck,,8.65926,"cytosol,bud",98.4401,bud,120.37799999999999,bud neck,28.6204
72,BEM2,YER155C,cytosol:bud neck,,9.934280000000001,"cytosol,bud",76.993,"cytosol,bud",26.691999999999997,below threshold,23.1992
32,BEM3,YPL115C,below threshold,15.25,3.53065,bud,63.7283,"punctate,bud neck",85.8451,below threshold,22.5437
1022,BEM4,YPL161C,cytosol,25.51,6.22253,cytosol,73.4367,cytosol,76.9098,below threshold,29.4642
325,BER1,YLR412W,cytosol,28.91,6.55281,cytosol,55.3073,cytosol,77.8918,below threshold,22.3789
157,BET1,YIL004C,,,,punctate,31.8272,"punctate,vacuole",89.023,below threshold,17.5468
313,BET2,YPR176C,below threshold,17.77,4.4093599999999995,"cytosol,nucleus",152.827,"cytosol,nucleus",132.547,cytosol,37.7533
186,BET3,YKR068C,punctate,36.91,10.1889,"cytosol,punctate",101.219,"cytosol,punctate",104.96,punctate,45.82899999999999
135,BET4,YJL031C,,,,cytosol,97.4123,cytosol,112.714,below threshold,16.1786
171,BET5,YML077W,below threshold,13.54,3.8380699999999996,"cytosol,punctate",44.0157,punctate,11.6471,punctate,33.3537
903,BFA1,YJR053W,,,,punctate,38.4046,cytosol,0.0,below threshold,19.5862
120,BFR1,YOR198C,ER,86.71,23.4339,vacuole membrane,312.69599999999997,cytosol,381.659,ER,105.395
229,BFR2,YDR299W,nucleolus,72.28,20.7974,"nucleus,nucleolus",70.28699999999999,"nucleus,nucleolus",26.0911,"nucleus,nucleolus",66.81
709,BGL2,YGR282C,,,,"ER,vacuole",152.86,"cell periphery,vacuole",83.2672,"ER,vacuole",120.031
743,BIG1,YHR101C,,,,ER,81.9188,ER,29.1961,"ambiguous,ER",22.0275
76,BIK1,YCL029C,punctate,24.93,5.9987699999999995,punctate,87.0776,punctate,120.126,punctate,18.2347
1506,BIL1,YOR304C-A,,,,cytosol,116.48100000000001,cytosol,194.554,bud neck,26.3302
508,BIM1,YER016W,punctate,18.15,4.4325,punctate,97.3983,"punctate,nucleus",170.52,punctate,42.6822
210,BIO2,YGR286C,mitochondria,66.47,27.1601,mitochondria,100.446,mitochondria,110.00299999999999,"cytosol,punctate",27.3569
1650,BIO3,YNR058W,,,,cytosol,129.472,cytosol,174.395,cytosol,27.3918
1380,BIO4,YNR057C,below threshold,17.23,3.9048,cytosol,170.04,cytosol,294.14,cytosol,23.8844
497,BIO5,YNR056C,,,,ER,50.1918,"ER,vacuole",42.3347,below threshold,15.0954
150,BIR1,YJR089W,punctate,18.0,4.70713,"nucleus,nucleolus",32.5004,"nucleus,nucleolus",9.35445,punctate,14.8307
1789,BIT2,YBR270C,below threshold,16.89,4.5124699999999995,"cytosol,nucleus",49.5652,cytosol,33.6148,below threshold,21.3299
84,BIT61,YJL058C,below threshold,19.08,4.03872,"cytosol,cell periphery",47.5908,"cell periphery,nucleus",48.8032,below threshold,19.2199
874,BLI1,YKL061W,,,,cytosol,88.4357,cytosol,115.491,punctate,31.4268
869,BLM10,YFL007W,nucleus,24.57,7.193789999999999,"cytosol,nucleus",151.924,nucleus,115.87200000000001,nucleus,29.543000000000003
941,BLS1,YLR408C,,,,"cytosol,punctate",38.8624,punctate,7.7133199999999995,below threshold,22.5846
819,BMH1,YER177W,cytosol,606.5,209.016,cytosol,306.529,cytosol,480.537,cytosol,529.9169999999999
984,BMH2,YDR099W,cytosol,352.55,105.848,cytosol,288.83799999999997,cytosol,370.228,cytosol,149.431
