max_5_ind_1,max_5_ind_2,max_5_ind_3,max_5_ind_4,max_5_ind_5
1598,630,1598,6388,376
1598,6388,376,600,5606
628,649,583,1165,1598
1606,3505,5618,3543,1670
1993,5283,4196,6127,633
3508,252,2239,3840,3351
5066,1869,2856,802,6375
-2,-2,-2,-2,-2
2290,607,1570,2410,6189
5941,6271,5707,3450,759
2619,538,2038,5217,3916
1500,720,3867,3162,2376
641,5392,4151,1548,1962
640,1962,2397,2398,3609
3327,5066,3769,522,4278
4801,5396,399,6595,4187
1637,6079,4927,2883,424
597,4181,715,4865,590
647,700,701,4494,3853
648,6350,3854,699,2185
756,647,755,4795,700
757,583,669,702,630
4844,5055,4009,582,6136
650,1344,4008,5055,6136
-2,-2,-2,-2,-2
-2,-2,-2,-2,-2
5957,-2,-2,-2,-2
3131,6159,4065,681,1526
4429,2875,3571,2429,1269
4566,1533,5115,5408,4626
1064,302,4093,759,4743
3753,4417,849,5235,5468
4065,4861,3503,3309,2575
679,3228,2559,674,4148
4617,3391,3951,3973,1189
5925,1457,4960,5004,6414
62,3892,5081,806,4497
5628,4052,5912,6089,5485
3826,463,1086,2639,3309
666,3827,6233,198,2815
5735,4374,344,5060,3785
649,583,1544,630,509
3151,150,4764,634,2123
704,2121,4043,238,3055
1124,5666,1067,4920,649
5666,1067,4920,1885,4798
1846,675,3228,679,2559
1685,6509,3517,2761,6590
1685,6509,3517,2761,6590
2814,1359,4847,126,2070
3316,326,2517,1214,1310
1233,3228,2559,674,713
1144,5689,684,5894,681
209,5912,5070,6197,5585
1641,2101,1885,683,196
622,582,4196,753,682
685,680,681,690,4065
684,2328,5600,2072,2241
2964,3878,5116,3561,2544
5006,3642,4634,3171,1352
5006,3642,4634,1352,6023
172,128,2882,4447,2934
846,298,446,6560,1804
207,502,2309,1750,5215
360,2292,5553,3929,5622
423,4492,784,1788,3357
2848,2534,2829,2466,884
5833,376,6532,3799,5054
4735,572,2906,2617,2065
2528,3760,594,2411,3586
697,-2,-2,-2,-2
756,4795,755,700,647
699,648,756,755,4795
1278,647,646,3854,3142
467,1186,4753,4998,2208
709,2088,1409,3415,6054
1226,1982,671,4043,5682
706,5733,1694,2305,6428
705,-2,-2,-2,-2
5891,161,6169,410,4566
5517,3816,634,4289,924
708,703,707,705,710
5993,5477,823,5488,3931
712,-2,-2,-2,-2
786,3692,3963,5396,711
708,705,707,3228,679
3150,2070,6491,4474,3908
2775,1199,1776,3636,431
1632,715,342,5753,5612
3327,5066,3769,522,4278
1193,4544,996,5677,1222
2787,1236,6400,4954,6405
639,4645,3162,2742,237
5900,1729,4984,989,6552
721,-2,-2,-2,-2
424,4628,1187,511,1521
2153,1129,344,2183,4051
6382,6243,4311,6654,975
5094,2049,2277,3991,2945
1591,5271,3527,5254,2754
4566,707,5115,2689,6558
1869,6251,1721,4190,2630
4088,1015,1860,3173,3390
5364,2641,2961,1300,3880
3907,1484,5649,1413,411
331,3907,2544,5505,4733
2638,2510,4302,2720,1836
3384,1854,148,4564,938
5828,2842,774,3058,1934
738,-2,-2,-2,-2
6199,5136,1513,5359,2248
5757,2637,591,1219,1518
2874,1414,6249,190,1585
371,5290,1079,3543,1670
4065,-2,-2,-2,-2
1509,1848,6368,3216,39
5630,642,4299,1124,1721
744,2262,578,695,6269
1457,1998,5925,1170,5366
5515,2126,290,4819,3497
777,1395,731,732,758
4860,3798,5518,1561,5658
5647,4931,5197,6326,4703
5414,6530,3054,938,5523
27,1920,32,4926,5449
5170,5143,2719,5216,622
4065,4405,4154,5524,4517
756,648,699,700,4795
699,648,755,700,649
649,702,697,1007,756
6269,2065,572,2525,748
760,637,671,710,658
759,1335,4065,1906,3418
4065,2342,1173,2103,882
4587,3739,3738,276,-2
576,3653,3001,2671,572
1680,3899,81,579,3255
6219,6131,4933,851,4934
5104,6144,2337,1868,5877
5728,765,1684,3002,5104
5730,3009,1713,6288,247
3358,1934,4777,6169,3115
4135,1966,1236,6400,1833
1959,4831,3332,3040,2469
6440,3678,6477,6236,6690
2119,5604,2475,5359,2795
4197,1203,1934,736,3390
6488,4065,2834,5362,4419
3258,4699,6009,2777,1739
4212,213,3685,2340,1157
779,828,781,773,777
778,780,615,828,1135
779,951,5155,4755,6641
266,778,828,5561,3178
1858,1479,5936,5118,1960
3327,5066,3769,522,2857
3357,423,693,4492,2974
786,4181,2879,6274,645
4187,3176,473,4383,2300
4613,2299,2093,2878,2243
1863,4418,3887,221,5390
4856,4106,4605,2510,4740
666,6450,2639,5107,2948
794,1226,-2,-2,-2
3181,2131,1789,386,5613
2165,3610,5777,6538,3262
791,5884,532,815,6378
796,2201,2345,2380,1290
795,-2,-2,-2,-2
1301,3579,400,662,2775
1342,3107,3324,4751,4401
3286,3270,2571,2182,5760
509,3560,4490,3675,5925
4984,813,3469,6377,3215
5066,1721,5174,6200,6043
804,-2,-2,-2,-2
2336,803,2586,596,4773
806,2002,1881,3090,6119
1738,3262,5215,974,914
2159,5991,1951,6376,5418
809,976,1538,1632,513
808,5101,6093,3227,513
2761,6001,6509,6590,5629
812,3208,-2,-2,-2
1278,4569,5142,2131,4004
4984,4652,6552,3215,5012
4217,1995,4150,6682,6692
1287,6531,349,794,116
3113,5508,5432,3609,2599
2885,4155,1637,5743,6162
3928,16,4778,3358,2288
6211,5002,1873,6619,2513
3043,5830,2245,5470,1453
2823,6303,1008,5272,2198
5175,6043,642,4300,2808
5919,279,133,3968,4929
2561,2889,1919,3147,1748
5257,1331,6048,5277,525
6656,2004,1717,368,2161
5435,4285,5478,47,5822
778,781,779,773,777
1997,1235,4108,1289,3014
1837,4634,1035,87,2260
6435,3327,5066,522,4278
846,298,446,6560,1804
834,4386,-2,-2,-2
1140,6291,1567,3983,4890
1479,1582,6653,1459,5897
1321,4294,1390,4776,3476
5148,5875,4417,3149,6132
5164,2284,2807,4121,4515
-2,-2,-2,-2,-2
1244,379,3883,2730,6693
4519,1897,121,1276,5230
841,2605,426,5862,2276
1585,898,615,1863,2710
1860,1490,2378,2410,3390
2153,1510,1275,120,2887
298,446,6560,1804,4879
6343,352,6300,3104,5037
4516,1,5003,1117,4234
6431,659,6455,3778,5468
2169,4836,4789,5845,4579
3646,1118,515,6104,492
4527,846,298,446,6560
3456,1874,2124,6415,4057
6304,2287,4627,455,1859
1450,5259,6331,1179,2941
3764,937,3859,6510,4675
4053,4933,6292,1652,1803
859,-2,-2,-2,-2
858,1726,4907,2901,853
1286,3079,4233,4648,1291
1847,1238,3138,3296,4915
4636,1509,3334,2056,3910
3682,3613,5050,250,6227
5627,900,3699,5971,1391
6374,6408,6547,4716,3794
6074,24,867,1296,868
866,4199,976,-2,-2
24,6074,869,3641,3570
868,4612,212,5252,3614
3258,4699,6009,2777,1739
3849,5900,148,4564,1894
1589,829,3132,5161,1235
2114,5908,1817,5671,4498
399,4663,3282,1268,217
